,feature_name,feature_importance
165,12 hr rolling avg wind_cos,0.003281598
166,Rainfall_manukau_heads_rain lag: 1,0.003266934
167,Rainfall_mangere_rain lag: 1,0.003252514
168,Rainfall_manukau_heads_rain lag: 2,0.0032506841
169,3 hr rolling avg Sea_level_pressure_mangere_pressure,0.0032289082
170,Rainfall_mangere_rain lag: 12,0.0031106856
171,wind_cos,0.0031058341
172,6 hr rolling avg dewpoint (degC),0.0030762753
173,Station level pressure,0.003062304
174,wind_cos lag: 1,0.0030544228
175,Mean Temperature Deg C,0.0029861548
176,12 hr rolling avg Sea_level_pressure_manukau_heads_pressure,0.0
177,P_grad_alb_man_t,0.0
178,6 hr rolling avg Sea_level_pressure_manukau_heads_pressure,0.0
179,dewtemp,0.0
180,Sunshine hrs,0.0
181,3 hr rolling avg Speed_manukau_heads_wind,0.0
182,24 hr rolling avg Sunshine hrs,0.0
183,cloudiness,0.0
184,Rainfall mm lag: 24,0.0
185,Mean sea level pressure Hpa lag: 2,0.0
186,Mean sea level pressure Hpa lag: 24,0.0
187,Mean Relative Humidity percent lag: 24,0.0
188,dewpoint (degC) lag: 1,0.0
189,dewpoint (degC) lag: 3,0.0
190,cloudiness lag: 1,0.0
191,cloudiness lag: 2,0.0
192,cloudiness lag: 6,0.0
193,cloudiness lag: 12,0.0
194,Sunshine hrs lag: 1,0.0
195,Sunshine hrs lag: 2,0.0
196,Sunshine hrs lag: 3,0.0
197,Sunshine hrs lag: 6,0.0
198,Sunshine hrs lag: 12,0.0
199,Sunshine hrs lag: 24,0.0
200,Sea_level_pressure_manukau_heads_pressure lag: 1,0.0
201,Sea_level_pressure_manukau_heads_pressure lag: 3,0.0
202,3 hr rolling avg Mean sea level pressure Hpa,0.0
203,12 hr rolling avg Mean Relative Humidity percent,0.0
204,12 hr rolling avg dewpoint (degC),0.0
205,6 hr rolling avg wind_cos,0.0
206,3 hr rolling avg cloudiness,0.0
207,3 hr rolling avg Sunshine hrs,0.0
208,6 hr rolling avg Sunshine hrs,0.0
209,12 hr rolling avg Sunshine hrs,0.0
210,Seasons_Winter,0.0
