Frequency [D/H],Observation time UTC,Data Source (rainfall),Rainfall [mm],PERIOD [hrs],Deficit [mm],Runoff [mm],Data source (water balance)
S,2013-09-21T18:00:00Z,S,33,6,,,
S,2013-09-22T00:00:00Z,S,0,6,,,
S,2013-09-22T06:00:00Z,S,0,6,,,
S,2013-09-22T18:00:00Z,S,0,6,,,
S,2013-09-23T00:00:00Z,S,0,6,,,
S,2013-09-23T06:00:00Z,S,0,6,,,
S,2013-09-23T12:00:00Z,S,0,6,,,
S,2013-09-23T18:00:00Z,S,0,6,,,
S,2013-09-24T00:00:00Z,S,3,6,,,
S,2013-09-24T06:00:00Z,S,14,6,,,
S,2013-09-24T12:00:00Z,S,6,6,,,
S,2013-09-24T18:00:00Z,S,0.8,6,,,
S,2013-09-25T00:00:00Z,S,0.6,6,,,
S,2013-09-25T06:00:00Z,S,1,6,,,
S,2013-09-25T12:00:00Z,S,0.6,6,,,
S,2013-09-25T18:00:00Z,S,0.6,6,,,
S,2013-09-26T00:00:00Z,S,0,6,,,
S,2013-09-26T06:00:00Z,S,0,6,,,
S,2013-09-26T12:00:00Z,S,0,6,,,
S,2013-09-26T18:00:00Z,S,0,6,,,
S,2013-09-27T00:00:00Z,S,0,6,,,
S,2013-09-27T06:00:00Z,S,0,6,,,
S,2013-09-27T12:00:00Z,S,0,6,,,
S,2013-09-27T18:00:00Z,S,0.2,6,,,
S,2013-09-28T00:00:00Z,S,0,6,,,
S,2013-09-28T06:00:00Z,S,0.4,6,,,
S,2013-09-28T12:00:00Z,S,0,6,,,
S,2013-09-28T17:00:00Z,S,0,6,,,
S,2013-09-28T23:00:00Z,S,0,6,,,
S,2013-09-29T05:00:00Z,S,0,6,,,
S,2013-09-29T11:00:00Z,S,0,6,,,
S,2013-09-29T17:00:00Z,S,1,6,,,
S,2013-09-29T23:00:00Z,S,1,6,,,
S,2013-09-30T05:00:00Z,S,3,6,,,
S,2013-09-30T11:00:00Z,S,0,6,,,
S,2013-09-30T17:00:00Z,S,0,6,,,
S,2013-09-30T23:00:00Z,S,0,6,,,
S,2013-10-01T05:00:00Z,S,0,6,,,
S,2013-10-01T11:00:00Z,S,0,6,,,
S,2013-10-01T17:00:00Z,S,0,6,,,
S,2013-10-01T23:00:00Z,S,0,6,,,
S,2013-10-02T05:00:00Z,S,0,6,,,
S,2013-10-02T11:00:00Z,S,0,6,,,
S,2013-10-02T17:00:00Z,S,0,6,,,
S,2013-10-02T23:00:00Z,S,0,6,,,
S,2013-10-03T05:00:00Z,S,0,6,,,
S,2013-10-03T11:00:00Z,S,0,6,,,
S,2013-10-03T17:00:00Z,S,0,6,,,
S,2013-10-03T23:00:00Z,S,0,6,,,
S,2013-10-04T05:00:00Z,S,0,6,,,
S,2013-10-04T11:00:00Z,S,0,6,,,
S,2013-10-04T17:00:00Z,S,0,6,,,
S,2013-10-04T23:00:00Z,S,0,6,,,
S,2013-10-05T05:00:00Z,S,0,6,,,
S,2013-10-05T11:00:00Z,S,0,6,,,
S,2013-10-05T17:00:00Z,S,0,6,,,
S,2013-10-05T23:00:00Z,S,0,6,,,
S,2013-10-06T05:00:00Z,S,0,6,,,
S,2013-10-06T11:00:00Z,S,0,6,,,
S,2013-10-06T17:00:00Z,S,0,6,,,
S,2013-10-06T23:00:00Z,S,0,6,,,
S,2013-10-07T05:00:00Z,S,0,6,,,
S,2013-10-07T11:00:00Z,S,0,6,,,
S,2013-10-07T17:00:00Z,S,0,6,,,
S,2013-10-07T23:00:00Z,S,0.2,6,,,
S,2013-10-08T05:00:00Z,S,0,6,,,
S,2013-10-08T11:00:00Z,S,8,6,,,
S,2013-10-08T17:00:00Z,S,3,6,,,
S,2013-10-08T23:00:00Z,S,0,6,,,
S,2013-10-09T05:00:00Z,S,0,6,,,
S,2013-10-09T11:00:00Z,S,3,6,,,
S,2013-10-09T17:00:00Z,S,1,6,,,
S,2013-10-09T23:00:00Z,S,0.6,6,,,
S,2013-10-10T05:00:00Z,S,0,6,,,
S,2013-10-10T11:00:00Z,S,0.8,6,,,
S,2013-10-10T17:00:00Z,S,0.6,6,,,
S,2013-10-10T23:00:00Z,S,0.4,6,,,
S,2013-10-11T05:00:00Z,S,0,6,,,
S,2013-10-11T11:00:00Z,S,5,6,,,
S,2013-10-11T17:00:00Z,S,2,6,,,
S,2013-10-11T23:00:00Z,S,1,6,,,
S,2013-10-12T05:00:00Z,S,4,6,,,
S,2013-10-12T11:00:00Z,S,0.4,6,,,
S,2013-10-12T17:00:00Z,S,0,6,,,
S,2013-10-12T23:00:00Z,S,0,6,,,
S,2013-10-13T05:00:00Z,S,0,6,,,
S,2013-10-13T11:00:00Z,S,0,6,,,
S,2013-10-13T17:00:00Z,S,0,6,,,
S,2013-10-13T23:00:00Z,S,0,6,,,
S,2013-10-14T05:00:00Z,S,0,6,,,
S,2013-10-14T11:00:00Z,S,0,6,,,
S,2013-10-14T17:00:00Z,S,0,6,,,
S,2013-10-14T23:00:00Z,S,1,6,,,
S,2013-10-15T05:00:00Z,S,0,6,,,
S,2013-10-15T11:00:00Z,S,0.4,6,,,
S,2013-10-15T17:00:00Z,S,0,6,,,
S,2013-10-15T23:00:00Z,S,0.4,6,,,
S,2013-10-16T05:00:00Z,S,0,6,,,
S,2013-10-16T11:00:00Z,S,0,6,,,
S,2013-10-16T17:00:00Z,S,0,6,,,
S,2013-10-16T23:00:00Z,S,0.4,6,,,
S,2013-10-17T05:00:00Z,S,0,6,,,
S,2013-10-17T11:00:00Z,S,0,6,,,
S,2013-10-17T17:00:00Z,S,0,6,,,
S,2013-10-17T23:00:00Z,S,0,6,,,
S,2013-10-18T05:00:00Z,S,0,6,,,
S,2013-10-18T11:00:00Z,S,0,6,,,
S,2013-10-18T17:00:00Z,S,0,6,,,
S,2013-10-18T23:00:00Z,S,0,6,,,
S,2013-10-19T05:00:00Z,S,0,6,,,
S,2013-10-19T11:00:00Z,S,0,6,,,
S,2013-10-19T17:00:00Z,S,0,6,,,
S,2013-10-19T23:00:00Z,S,0,6,,,
S,2013-10-20T05:00:00Z,S,0,6,,,
S,2013-10-20T11:00:00Z,S,0,6,,,
S,2013-10-20T17:00:00Z,S,0,6,,,
S,2013-10-20T23:00:00Z,S,0,6,,,
S,2013-10-21T05:00:00Z,S,0,6,,,
S,2013-10-21T11:00:00Z,S,0,6,,,
S,2013-10-21T17:00:00Z,S,0,6,,,
S,2013-10-22T05:00:00Z,S,0,6,,,
S,2013-10-22T11:00:00Z,S,0,6,,,
S,2013-10-22T17:00:00Z,S,0,6,,,
S,2013-10-22T23:00:00Z,S,0.2,6,,,
S,2013-10-23T05:00:00Z,S,0,6,,,
S,2013-10-23T11:00:00Z,S,0,6,,,
S,2013-10-23T17:00:00Z,S,0,6,,,
S,2013-10-23T23:00:00Z,S,0,6,,,
S,2013-10-24T05:00:00Z,S,0,6,,,
S,2013-10-24T11:00:00Z,S,0,6,,,
S,2013-10-24T17:00:00Z,S,0,6,,,
S,2013-10-24T23:00:00Z,S,0,6,,,
S,2013-10-25T05:00:00Z,S,0.6,6,,,
S,2013-10-25T11:00:00Z,S,0,6,,,
S,2013-10-25T17:00:00Z,S,0,6,,,
S,2013-10-25T23:00:00Z,S,0.2,6,,,
S,2013-10-26T05:00:00Z,S,0,6,,,
S,2013-10-26T11:00:00Z,S,0,6,,,
S,2013-10-26T17:00:00Z,S,0,6,,,
S,2013-10-26T23:00:00Z,S,0,6,,,
S,2013-10-27T05:00:00Z,S,0,6,,,
S,2013-10-27T11:00:00Z,S,2,6,,,
S,2013-10-27T17:00:00Z,S,0,6,,,
S,2013-10-27T23:00:00Z,S,0,6,,,
S,2013-10-28T05:00:00Z,S,0,6,,,
S,2013-10-28T11:00:00Z,S,0,6,,,
S,2013-10-28T17:00:00Z,S,0,6,,,
S,2013-10-28T23:00:00Z,S,0.6,6,,,
S,2013-10-29T05:00:00Z,S,0,6,,,
S,2013-10-29T11:00:00Z,S,0,6,,,
S,2013-10-29T17:00:00Z,S,0,6,,,
S,2013-10-29T23:00:00Z,S,0,6,,,
S,2013-10-30T05:00:00Z,S,0,6,,,
S,2013-10-30T11:00:00Z,S,0,6,,,
S,2013-10-30T17:00:00Z,S,0,6,,,
S,2013-10-30T23:00:00Z,S,0,6,,,
S,2013-10-31T05:00:00Z,S,0,6,,,
S,2013-10-31T11:00:00Z,S,0.2,6,,,
S,2013-10-31T17:00:00Z,S,0.4,6,,,
S,2013-10-31T23:00:00Z,S,0,6,,,
S,2013-11-01T05:00:00Z,S,0,6,,,
S,2013-11-01T11:00:00Z,S,0,6,,,
S,2013-11-01T17:00:00Z,S,0,6,,,
S,2013-11-01T23:00:00Z,S,0.2,6,,,
S,2013-11-02T05:00:00Z,S,0,6,,,
S,2013-11-02T11:00:00Z,S,0,6,,,
S,2013-11-02T17:00:00Z,S,0,6,,,
S,2013-11-02T23:00:00Z,S,0,6,,,
S,2013-11-03T05:00:00Z,S,0,6,,,
S,2013-11-03T11:00:00Z,S,0,6,,,
S,2013-11-03T17:00:00Z,S,0,6,,,
S,2013-11-03T23:00:00Z,S,0,6,,,
S,2013-11-04T05:00:00Z,S,0,6,,,
S,2013-11-04T11:00:00Z,S,0,6,,,
S,2013-11-04T17:00:00Z,S,0,6,,,
S,2013-11-04T23:00:00Z,S,0,6,,,
S,2013-11-05T05:00:00Z,S,0.6,6,,,
S,2013-11-05T11:00:00Z,S,13,6,,,
S,2013-11-05T17:00:00Z,S,2,6,,,
S,2013-11-05T23:00:00Z,S,0,6,,,
S,2013-11-06T05:00:00Z,S,0.2,6,,,
