Frequency [D/H],Observation time UTC,Data Source (rainfall),Rainfall [mm],PERIOD [hrs],Deficit [mm],Runoff [mm],Data source (water balance)
S,2019-06-24T00:00:00Z,S,0.2,6,,,
S,2019-06-24T06:00:00Z,S,0,6,,,
S,2019-06-24T12:00:00Z,S,0,6,,,
S,2019-06-24T18:00:00Z,S,0,6,,,
S,2019-06-25T00:00:00Z,S,0,6,,,
S,2019-06-25T06:00:00Z,S,0,6,,,
S,2019-06-25T12:00:00Z,S,0,6,,,
S,2019-06-25T18:00:00Z,S,0,6,,,
S,2019-06-26T00:00:00Z,S,0,6,,,
S,2019-06-26T06:00:00Z,S,0,6,,,
S,2019-06-26T12:00:00Z,S,0,6,,,
S,2019-06-26T18:00:00Z,S,0,6,,,
S,2019-06-27T00:00:00Z,S,0.2,6,,,
S,2019-06-27T06:00:00Z,S,0,6,,,
S,2019-06-27T12:00:00Z,S,0,6,,,
S,2019-06-27T18:00:00Z,S,0,6,,,
S,2019-06-28T00:00:00Z,S,0,6,,,
S,2019-06-28T06:00:00Z,S,0,6,,,
S,2019-06-28T12:00:00Z,S,0,6,,,
S,2019-06-28T18:00:00Z,S,0,6,,,
S,2019-06-29T00:00:00Z,S,0,6,,,
S,2019-06-29T06:00:00Z,S,0,6,,,
S,2019-06-29T12:00:00Z,S,0,6,,,
S,2019-06-29T18:00:00Z,S,0,6,,,
S,2019-06-30T00:00:00Z,S,0,6,,,
S,2019-06-30T06:00:00Z,S,0,6,,,
S,2019-06-30T12:00:00Z,S,0,6,,,
S,2019-06-30T18:00:00Z,S,0,6,,,
S,2019-07-01T00:00:00Z,S,0,6,,,
S,2019-07-01T06:00:00Z,S,3,6,,,
S,2019-07-01T12:00:00Z,S,0,6,,,
S,2019-07-01T18:00:00Z,S,0.3,6,,,
S,2019-07-02T00:00:00Z,S,2,6,,,
S,2019-07-02T06:00:00Z,S,0.1,6,,,
S,2019-07-02T12:00:00Z,S,0.3,6,,,
S,2019-07-02T18:00:00Z,S,1,6,,,
S,2019-07-03T00:00:00Z,S,0,6,,,
S,2019-07-03T06:00:00Z,S,0,6,,,
S,2019-07-03T12:00:00Z,S,0.2,6,,,
S,2019-07-03T18:00:00Z,S,3,6,,,
S,2019-07-04T00:00:00Z,S,17,6,,,
S,2019-07-04T06:00:00Z,S,19,6,,,
S,2019-07-04T12:00:00Z,S,1,6,,,
S,2019-07-04T18:00:00Z,S,0,6,,,
S,2019-07-05T00:00:00Z,S,0,6,,,
S,2019-07-05T06:00:00Z,S,0,6,,,
S,2019-07-05T12:00:00Z,S,0,6,,,
S,2019-07-05T18:00:00Z,S,0.5,6,,,
S,2019-07-06T00:00:00Z,S,0,6,,,
S,2019-07-06T06:00:00Z,S,0,6,,,
S,2019-07-06T12:00:00Z,S,0,6,,,
S,2019-07-06T18:00:00Z,S,0,6,,,
S,2019-07-07T00:00:00Z,S,0,6,,,
S,2019-07-07T06:00:00Z,S,0,6,,,
S,2019-07-07T12:00:00Z,S,0.9,6,,,
S,2019-07-07T18:00:00Z,S,0.4,6,,,
S,2019-07-08T00:00:00Z,S,0.3,6,,,
S,2019-07-08T06:00:00Z,S,0.3,6,,,
S,2019-07-08T12:00:00Z,S,0.1,6,,,
S,2019-07-08T18:00:00Z,S,0.6,6,,,
S,2019-07-09T00:00:00Z,S,0.3,6,,,
S,2019-07-09T06:00:00Z,S,0,6,,,
S,2019-07-09T12:00:00Z,S,0,6,,,
S,2019-07-09T18:00:00Z,S,0,6,,,
S,2019-07-10T00:00:00Z,S,0,6,,,
S,2019-07-10T06:00:00Z,S,0,6,,,
S,2019-07-10T12:00:00Z,S,2,6,,,
S,2019-07-10T18:00:00Z,S,0,6,,,
S,2019-07-11T00:00:00Z,S,0.1,6,,,
S,2019-07-11T06:00:00Z,S,0,6,,,
S,2019-07-11T12:00:00Z,S,0,6,,,
S,2019-07-11T18:00:00Z,S,0,6,,,
